Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
53,2013-14,53,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ 1ನೇ ಬ್ಲಾಕ್ 1ನೇ ಮೈನ್, ಜಕ್ಕಸಂದ್ರ ಶ್ರೀ ಮುನೇಶ್ವರ ದೇವಸ್ಥಾನದ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No.151 Koramangala 1st Block 1st Mine, Pump and Motor Installment to the Pipe Well near Jakasandra Sri Muneswara Temple.",2.4
54,2013-14,54,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ 1ನೇ ಬ್ಲಾಕ್ 1ನೇ ಮೈನ್, ಜಕ್ಕಸಂದ್ರ ಶ್ರೀ ಮುನೇಶ್ವರ ದೇವಸ್ಥಾನದ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No.151 Koramangala 1st Block 1st Mine, Jakkasandra Sri Muneeshwara Temple, Tube Well dug well water tanker, Water supply and power connection through Pipeline.",1.2
55,2013-14,55,"ವಾರ್ಡ್ ನಂ.148 ಈಜಿಪುರ, ಆಶಾನಿಲಯ ಅಪಾರ್ಟ್‍ಮೆಂಟ್ ರಸ್ತೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No 148 Ezipura, Bungalow Well Drilling Work at the Hospital Apartment Road.",2.4
56,2013-14,56,"ವಾರ್ಡ್ ನಂ.148 ಈಜಿಪುರ, ಆಶಾನಿಲಯ ಅಪಾರ್ಟ್‍ಮೆಂಟ್ ರಸ್ತೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.",Ward No. 148 Pump and motor installation work for the pipeline well at the Ashipara Apartment Road.,2.4
57,2013-14,57,"ವಾರ್ಡ್ ನಂ.148 ಈಜಿಪುರ, ಆಶಾನಿಲಯ ಅಪಾರ್ಟ್‍ಮೆಂಟ್ ರಸ್ತೆಯಲ್ಲಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148 Work on water supply and power connectivity through the pipeline on the road to the estate in Ezipura, Assam.",1.2
58,2013-14,58,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ 3ನೇ ಎ ಅಡ್ಡರಸ್ತೆ, ಟೆನ್ನಿಸ್ ಕೋರ್ಟ್ ಮನೆ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No 148- Aegpur 3rd A crossroads, tunnel well drilling work near the tennis court.",2.5
59,2013-14,59,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ 3ನೇ ಎ ಅಡ್ಡರಸ್ತೆ, ಟೆನ್ನಿಸ್ ಕೋರ್ಟ್ ಮನೆ ಹತ್ತಿg ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No 148- Aegpur 3rd A crossroads, tennis court home pump and motor fitted to cotton g pipe well.",2.5
60,2013-14,60,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ 3ನೇ ಎ ಅಡ್ಡರಸ್ತೆ, ಟೆನ್ನಿಸ್ ಕೋರ್ಟ್ ಮನೆ ಹತ್ತಿg ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No 148- Aegpur 3rd A crossroads, tennis court home cotton gauge line water supply and power connectivity through pipeline.",1.0
61,2013-14,61,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ, ನಂ.1, ಸಿ ಕ್ರಾಸ್, ರಂಗಪ್ಪ ಗಾರ್ಡನ್, ಎಮರಾಲ್ಡ್ ಕ್ಲಾಸಿಕ್ ಅಪಾರ್ಟ್‍ಮೆಂಟ್ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No 148- Ezipura, No.1, C Cross, Rangappa Gordon, near the Emerald Classic Apartment.",2.4
62,2013-14,62,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ, ನಂ.1, ಸಿ ಕ್ರಾಸ್, ರಂಗಪ್ಪ ಗಾರ್ಡನ್, ಎಮರಾಲ್ಡ್ ಕ್ಲಾಸಿಕ್ ಅಪಾರ್ಟ್‍ಮೆಂಟ್ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148- EPIPUR, No.1, C Cross, Rangappa Gordon, Pump and Motor Installment Near the Emerald Classic Apartment.",2.4
63,2013-14,63,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ, ನಂ.1, ಸಿ ಕ್ರಾಸ್, ರಂಗಪ್ಪ ಗಾರ್ಡನ್, ಎಮರಾಲ್ಡ್ ಕ್ಲಾಸಿಕ್ ಅಪಾರ್ಟ್‍ಮೆಂಟ್ ಹತ್ತಿರ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No 148- Work on water supply and power connectivity through Pipeline near Ezipura, No.1, C Cross, Rangappa Garden, Emerald Classic Apartment.",1.2
64,2013-14,64,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ 20ನೇ ಕ್ರಾಸ್, ಅಶ್ವಥಕಟ್ಟೆ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No. 148- 20th Cross of Ezhipuram, the construction of a tube well near Ashwatakatte.",2.4
65,2013-14,65,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ 20ನೇ ಕ್ರಾಸ್, ಅಶ್ವಥಕಟ್ಟೆ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No.148- 20th Cross of Egypt, pump and motor installation work near the Ashwatakete to the tube well.",2.4
66,2013-14,66,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ 20ನೇ ಕ್ರಾಸ್, ಅಶ್ವಥಕಟ್ಟೆ ಹತ್ತಿರ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148- 20th Cross of Ezhipuram, Water supply and power connection through Pipeline near Ashwatakatte.",1.2
67,2013-14,67,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ ನಡುಗಡ್ಡೆ, 24ನೇ ಕ್ರಾಸ್, ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No. 148 - Ezipur Thumb, 24th Cross, Tube Well Drilling Work.",2.5
68,2013-14,68,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ ನಡುಗಡ್ಡೆ, 24ನೇ ಕ್ರಾಸ್, ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148- Ezipur Thumb, 24th Cross, Pump and Motor Installment to the Pipe Well.",2.5
69,2013-14,69,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ ನಡುಗಡ್ಡೆ, 24ನೇ ಕ್ರಾಸ್, ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No 148- Ezipur Thumb, 24th Cross, Water Supply and Power Connectivity via Pipe Line.",1.0
70,2013-14,70,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ, ಚಂದ್ರಾರೆಡ್ಡಿ ಬಡಾವಣೆ, 20ನೇ-ಎಲ್ ಕ್ರಾಸ್ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No 148- Ejipura, Chandrareddi Layout, near the 20th-L Cross is a tube well drilling work.",2.4
71,2013-14,71,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ, ಚಂದ್ರಾರೆಡ್ಡಿ ಬಡಾವಣೆ, 20ನೇ-ಎಲ್ ಕ್ರಾಸ್ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148- Work on pumps and motor fitted to the tubing well near the 20th-L Cross, Ejipur, Chandrareddi Layout.",2.4
72,2013-14,72,"ವಾರ್ಡ್ ನಂ.148- ಈಜೀಪುರ, ಚಂದ್ರಾರೆಡ್ಡಿ ಬಡಾವಣೆ, 20ನೇ-ಎಲ್ ಕ್ರಾಸ್ ಹತ್ತಿರ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No 148- Work on water supply and power connectivity through the pipeline near Ejipur, Chandrareddi Layout, 20th-L Cross.",1.2
73,2014-15,1,"Drilling of Borewell for providing water supply facilities near Sri Muneswara Temple at Jakkasandra ward No.173, Bangalore.","Drilling of Borewell for providing water supply facilities near Sri Muneswara Temple at Jakkasandra ward No.173, Bangalore.",6.0
74,2014-15,2,"Drilling of Borewell for providing water supply facilities  at Malaprabha block, NGV Housing complex at Ijipura ward No.148, Bangalore.","Drilling of Borewell for providing water supply facilities  at Malaprabha block, NGV Housing complex at Ijipura ward No.148, Bangalore.",6.0
75,2014-15,3,ವಾರ್ಡ್ ನಂ.147 ಆಡುಗೋಡಿ ಬಾಲಪ್ಪ ಬಡಾವಣೆ ಕೋರಮಂಗಲ ಇಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ಕೊಳವೆ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.,Ward No.147 Audugodi Balappa Layout Koramangala is a water supply project by the tube well and the pipeline.,6.0
76,2014-15,4,ವಾರ್ಡ್ 151- ಕೋರಮಂಗಲ 03ನೇ ಬ್ಲಾಕ್‍ನಲ್ಲಿರುವ ಉದ್ಯಾನವನದಲ್ಲಿರುವ ಗ್ರಂಥಾಲಯ ಕಟ್ಟಡದ ಮೇಲೆ ಮೊದಲನೆ ಮಹಡಿ ವಿವಿದೊದ್ದೇಶ ಸಭಾಂಗಣ ನಿರ್ಮಾಣದ ಕಾಮಗಾರಿ.,Ward 151 - The first floor of the library building in the garden at Koramangala 03rd Block is the construction of a detailed auditorium.,15.0
77,2014-15,5,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ ಎನ್.ಜಿ.ವಿ ಯ ಗೋದಾವರಿ ಬ್ಲಾಕ್ ನಲ್ಲಿ ಮಕ್ಕಳ ಆಟದ ಮೈದಾನ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಳು.","Ward No. 148, Children's Playground and Development Works at Godavari Block, NGV, Ejipur.",5.0
78,2014-15,6,"ವಾರ್ಡ್ 147, ಆಡುಗೋಡಿಯ ಪೋಲೀಸ್ ವಸತಿ ಗೃಹಗಳ ಸಿ.ಎ.ಆರ್ (ದಕ್ಷಿಣ) ನಂದಿನಿ ಬ್ಲಾಕ್-7ರಲ್ಲಿ ಒಳಚರಂಡಿಯ ದೊಡ್ಡ ವ್ಯಾಸದ ಕೊಳವೆಗಳನ್ನು ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward 147, a large diameter pipe for drainage in Nandini Block -7 of CRA (South) of the Police Residences of Adugodi.",3.78
79,2014-15,7,"ವಾರ್ಡ್ 147, ಆಡುಗೋಡಿಯ ಪೋಲೀಸ್ ವಸತಿ ಗೃಹಗಳ ಸಿ.ಎ.ಆರ್ (ದಕ್ಷಿಣ) ನಂದಿನಿ ಬ್ಲಾಕ್-8ರಲ್ಲಿ ಒಳಚರಂಡಿಯ ದೊಡ್ಡ ವ್ಯಾಸದ ಕೊಳವೆಗಳನ್ನು ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward 147, CAD (South) of Police Housing Houses in Adugodi, Nandini Block-8, is a major installation of large diameter tubes.",3.78
80,2014-15,8,"ವಾರ್ಡ್ 147, ಆಡುಗೋಡಿಯ ಪೋಲೀಸ್ ವಸತಿ ಗೃಹಗಳ ಸಿ.ಎ.ಆರ್ (ದಕ್ಷಿಣ) ನಂದಿನಿ ಬ್ಲಾಕ್-9ರಲ್ಲಿ ಒಳಚರಂಡಿಯ ದೊಡ್ಡ ವ್ಯಾಸದ ಕೊಳವೆಗಳನ್ನು ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward 147, a large diameter pipe for drainage in Nandini Block-9 of CRA (South) of Police Residential Houses in Adugodi.",3.78
81,2014-15,9,"ವಾರ್ಡ್ 147, ಆಡುಗೋಡಿಯ ಪೋಲೀಸ್ ವಸತಿ ಗೃಹಗಳ ಸಿ.ಎ.ಆರ್ (ದಕ್ಷಿಣ) ನಂದಿನಿ ಬ್ಲಾಕ್-10ರಲ್ಲಿ ಒಳಚರಂಡಿಯ ದೊಡ್ಡ ವ್ಯಾಸದ ಕೊಳವೆಗಳನ್ನು ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward 147, a large diameter pipe for drainage in Nandini Block-10 of CRA (South) of the Police Residences of Adugodi.",0.59
82,2014-15,10,"ವಾರ್ಡ್ 147, ಆಡುಗೋಡಿಯ ಪೋಲೀಸ್ ವಸತಿ ಗೃಹಗಳ ಸಿ.ಎ.ಆರ್ (ದಕ್ಷಿಣ) ದ ಮೈನ್‍ಲೈನ್ ಕಾಮಗಾರಿ.","Ward 147, Mainline Works of CRA (South) of Police Residential Houses in Adugodi.",5.63
83,2014-15,11,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ ಮಂಜುನಾಥ್ ಲೇ ಔಟ್, 21ನೇ ಅಡ್ಡರಸ್ತೆ ಇಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No 148- Ezhipuram Manjunath Lay Out, 21st Crossroads is a tube well drilling work here.",2.5
84,2014-15,12,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ ಮಂಜುನಾಥ್ ಲೇ ಔಟ್, 21ನೇ ಅಡ್ಡರಸ್ತೆ ಇಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No 148- Ezipura Manjunath Lay Out, 21st Crossway Pump Motor Works to Pipe Wells.",2.5
85,2014-15,13,"ವಾರ್ಡ್ ನಂ.148- ಈಜಿಪುರ ಮಂಜುನಾಥ್ ಲೇ ಔಟ್, 21ನೇ ಅಡ್ಡರಸ್ತೆ ಇಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪೈಪ್‍ಲೈನ್ ಮತ್ತು ಸಿಸ್ಟಮ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No 148- Ezhipuram Manjunath Lay Out, 21st Crossway The pipeline and system installation work for the pipe well here.",2.0
86,2014-15,14,"ವಾರ್ಡ್ ನಂ.151, ಕೋರಮಂಗಲ, 3ನೇ ಬ್ಲಾಕ್‍ನಲ್ಲಿರುವ ಉದ್ಯಾನವನದಲ್ಲಿನ ಗ್ರಂಥಾಲಯ ಕಟ್ಟಡದ ಮೇಲೆ ಮೊದಲನೇ ಮಹಡಿಯ ವಿವಿದೋದ್ದೇಶದ ಸಭಾಂಗಣ ನಿರ್ಮಾಣ ಹೆಚ್ಚುವರಿ ಕಾಮಗಾರಿ.","Construction work on the first floor of the library is located on the library building at Ward No.151, Koramangala, 3rd Block.",2.0
87,2014-15,15,"ವಾರ್ಡ್ ನಂ.151 ಕೋರಮಂಗಲ, ಕೋರಮಂಗಲ 3ನೇ ಬ್ಲಾಕ್‍ನಲ್ಲಿರುವ ಉದ್ಯಾನವನದಲ್ಲಿನ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.","Ward No.151 Development Work in the Garden at 3rd Block, Koramangala, Koramangala.",4.3
88,2014-15,16,"Drilling of Bore well at 12th cross, near Anjanappa compound Jakkasandra, Koramangala, Ward.No.173, Bangalore.","Drilling of Bore well at 12th cross, near Anjanappa compound Jakkasandra, Koramangala, Ward.No.173, Bangalore.",2.4
89,2014-15,17,"Providing pump & motor to borewell 12th cross, near Anjanappa compound Venkatapura, Jakkasandra, Koramangala, Ward No.173, Bangalore.","Providing pump & motor to borewell 12th cross, near Anjanappa compound Venkatapura, Jakkasandra, Koramangala, Ward No.173, Bangalore.",2.4
90,2014-15,18,"Providing & laying of pipeline and Electrification Facilities at 12th cross, near Anjanappa compound Venkatapura, Jakkasandra, Koramangala, Ward No.173, Bangalore.","Providing & laying of pipeline and Electrification Facilities at 12th cross, near Anjanappa compound Venkatapura, Jakkasandra, Koramangala, Ward No.173, Bangalore.",1.2
91,2014-15,19,"Drilling of Borewell at near Good Day School at Balajinagar, S.G.Palya, Ward No.152, Bangalore.","Drilling of Borewell at near Good Day School at Balajinagar, S.G.Palya, Ward No.152, Bangalore.",2.4
92,2014-15,20,"Providing pump & motor to borewell at near Good Day School at Balajinagar, S.G.Palya, Ward No.152, Bangalore.","Providing pump & motor to borewell at near Good Day School at Balajinagar, S.G.Palya, Ward No.152, Bangalore.",2.4
93,2014-15,21,"Providing & laying of pipeline and Electrification Facilities at near Good Day School at Balajinagar, S.G.Palya, Ward No.152, Bangalore.","Providing & laying of pipeline and Electrification Facilities at near Good Day School at Balajinagar, S.G.Palya, Ward No.152, Bangalore.",1.2
94,2014-15,22,"Drilling of borewell at Channamma Badavane, Maruthi Badavane, S.G.Palya, Ward No.152, Bangalore.","Drilling of borewell at Channamma Badavane, Maruthi Badavane, S.G.Palya, Ward No.152, Bangalore.",2.5
95,2014-15,23,"Providing pump & Motor to borewell at Channamma Badavane, Maruthi Badavane, S.G.Palya, Ward No.152, Bangalore.","Providing pump & Motor to borewell at Channamma Badavane, Maruthi Badavane, S.G.Palya, Ward No.152, Bangalore.",2.5
96,2014-15,24,"Providing &Laying of pipeline and Electrification facilities at Channamma Badavane, Maruthi Badavane, S.G.Palya, Ward No.152, Bangalore.","Providing &Laying of pipeline and Electrification facilities at Channamma Badavane, Maruthi Badavane, S.G.Palya, Ward No.152, Bangalore.",1.0
97,2014-15,25,"Drilling of borewell near N.G.View, Tungabhadra Block, Ejipura Ward No.148, Bangalore.","Drilling of borewell near N.G.View, Tungabhadra Block, Ejipura Ward No.148, Bangalore.",2.4
98,2014-15,26,"Providing pump & motor near N.G.View, Tungabhadra Block, Ejipura Ward No.148, Bangalore.","Providing pump & motor near N.G.View, Tungabhadra Block, Ejipura Ward No.148, Bangalore.",2.4
99,2014-15,27,"Providing & Laying of pipeline and Electrification Facilities near N.G.View, Tungabhadra Block, Ejipura Ward No.148, Bangalore.","Providing & Laying of pipeline and Electrification Facilities near N.G.View, Tungabhadra Block, Ejipura Ward No.148, Bangalore.",1.2
100,2014-15,28,"Drilling of borewell near 12th cross, Venkatapura, Ward No.173,Bangalore.","Drilling of borewell near 12th cross, Venkatapura, Ward No.173,Bangalore.",2.5
101,2014-15,29,"Providing pump & Motor near 12th cross, Venkatapura, Ward No.173,Bangalore.","Providing pump & Motor near 12th cross, Venkatapura, Ward No.173,Bangalore.",2.5
102,2014-15,30,"Providing & Laying of pipeline and Electrification Facilities  near 12th cross, Venkatapura, Ward No.173,Bangalore.","Providing & Laying of pipeline and Electrification Facilities  near 12th cross, Venkatapura, Ward No.173,Bangalore.",1.0
103,2014-15,31,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ ಶ್ರೀ ಗಣೇಶ ದೇವಸ್ಥಾನದ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No 148, Erope is a tube well drilling plant near the Sri Ganesh temple.",2.4
104,2014-15,32,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ ಶ್ರೀ ಗಣೇಶ ದೇವಸ್ಥಾನದ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148, Pump and Motor Installment to the Tube Well Near Erijur Sri Ganesh Temple.",2.4
105,2014-15,33,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ ಶ್ರೀ ಗಣೇಶ ದೇವಸ್ಥಾನದ ಹತ್ತಿರ ಪೈಪ್‍ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148, Water Supply and Power Connection to Pipeline Near Erijpur Sri Ganesh Temple.",1.2
106,2014-15,34,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರದ 9ಬೇ ಎ ಕ್ರಾಸ್, ಆರ್.ಎ ರಸ್ತೆಯ ಹತ್ತಿರ ಕೋರಮಂಗಲ ಗ್ರಾಮದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಕಾಮಗಾರಿ.","Ward No 148, 9 bay a cross in Ezhipuram, a borewelling work at Koramangala village near RA Road.",2.5
107,2014-15,35,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರದ 9ಬೇ ಎ ಕ್ರಾಸ್, ಆರ್.ಎ ರಸ್ತೆಯ ಹತ್ತಿರ ಕೋರಮಂಗಲ ಗ್ರಾಮದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪ್ ಮತ್ತು ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148, Pump and Motor Installment to the Pipe Well in Koramangala Village near 9 Bay A Cross, RA Road, Ejipura.",2.5
108,2014-15,36,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರದ 9ಬೇ ಎ ಕ್ರಾಸ್, ಆರ್.ಎ ರಸ್ತೆಯ ಹತ್ತಿರ ಪೈಪ್‍ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಹಾಗೂ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕಾಮಗಾರಿ.","Ward No. 148, 9 Bay A Cross of Ezipur, the construction of water supply and power connectivity through the pipeline near RA Road.",1.0
109,2014-15,37,"ಕು|| ನಳನಿ ಬಿನ್ ನಾರಾಯಣ, ನಂ.82, 3ನೆನೇ ಮುಖ್ಯರಸ್ತೆ, 03ನೇ ಕ್ರಾಸ್, ಬಿ.ಚಂದ್ರಪ್ಪನಗರ, ಆಡುಗೋಡಿ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ಮಾಹನ ಖರೀದಿಗಾಗಿ.","Ku Nalini bin Narayana, No.82, 3rd Main Road, 03rd Cross, B Chandrappanagar, Adugodi, Bell. For the purchase of three-wheeler.",0.8
110,2014-15,38,"ಹರಿಪ್ರಸಾದ್, ಬಿನ್ ಮಾರಪ್ಪ, ನಂ.20, 02ನೇ ಅಡ್ಡರಸ್ತೆ, 01ನೇ ಮುಖ್ಯರಸ್ತೆ, ಬಿ.ಚಂದ್ರಪ್ಪನಗರ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Hariprasad, Bin Marappa, No.20, 02nd Cross, 01th Main Road, B Chandrappanagar, b. For a three-wheel drive vehicle.",0.8
111,2014-15,39,"ಶೇಕ್ ಆಸೀಫ್ ಉಲ್ಲಾ, ನಂ.16, 04ನೇ ಮುಖ್ಯರಸ್ತೆ, ಚಿನ್ನಯ್ಯನಪಾಳ್ಯ, ಮೈಕೋ ಗೇಟ್, ಆಡುಗೋಡಿ ಪೋಸ್ಟ್, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Shake Asif Ulla, No.16, 04th Main Road, Chinnayyanapalya, Mykote Gate, Adugodi Post, Bell. For a three-wheel drive vehicle.",0.8
112,2014-15,40,"ಸಂಜೀವ್ ಬಿನ್ ದಿ|| ನರಸಿಂಹ, ನಂ.14, 04ನೇ ಮುಖ್ಯರಸ್ತೆ, ಚಂದ್ರಪ್ಪನಗರ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Sanjeev Bin The || Narasimha, No. 14, 04th Main Road, Chandrappanagar, b. For a three-wheel drive vehicle.",0.8
113,2014-15,41,"ಎಸ್.ವರಲಕ್ಷ್ಮಿ ಕೋಂ ಮಾರಪ್ಪ, ನಂ.139, ಬಿ.ಚಂದ್ರಪ್ಪನಗರ, ಆಡುಗೋಡಿ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","S.Valakshmi Kom Marappa, No. 139, B. Chandappanagar, Adugodi, Bell. For a three-wheel drive vehicle.",0.8
114,2014-15,42,"ಮಹಮ್ಮದ್ ಅತಾವುಲ್ಲಾ, ನಂ.09, 03ನೇ ಮುಖ್ಯರಸ್ತೆ, 15ನೇ ಕ್ರಾಸ್, ಚಿನ್ನಯ್ಯನಪಾಳ್ಯ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Mohammed Ataullah, No.09, 03nd Main Road, 15th Cross, Chinnayyanapalya, b. For a three-wheel drive vehicle.",0.8
