Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
66,2013-14,2,"ಬೆಂಗಳೂರು ಆರ್.ಟಿ.ನಗರ, ದಿನ್ನೂರು ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿರುವ ಲಾಲ್ ಬಹದ್ದೂರ್ ಶಾಸ್ತ್ರಿ ಮೊದಲ ದರ್ಜೆ ಸರ್ಕಾರಿ ಕಾಲೇಜು ಕಟ್ಟಡದ ಒಳಭಾಗದ ಹಾಗೂ ಹೊರಭಾಗದ ಗೋಡೆಗಳಿಗೆ ಬಣ್ಣ ಬಳಿಯುವುದು, ಒಡೆದ ಕಿಟಕಿ ಗಾಜುಗಳನ್ನು ಬದಲಾಯಿಸುವುದು, ಕಿಟಕಿ ಬಾಗಿಲುಗಳ ದುರಸ್ತಿ, ನೆಲಹಾಸು, ಮತ್ತು ಶೌಚಾಲಯ ಗೋಡೆಗಳಿಗೆ ಟೈಲ್ಸ್‍ಗಳಿಗೆ ಆಸಿಡ್ ವಾಶ್ ಮಾಡುವುದು ಮತ್ತು ಹೊರ ಆವರಣದ ತ್ಯಾಜ್ಯವನ್ನು ತೆಗೆದು ಸ್ವಚ್ಚಗೊಳಿಸುವುದು ಹಾಗೂ ಇತರೆ ತುರ್ತು ದುರಸ್ಥಿ ಕಾಮಗಾರಿ.","Lal Bahadur Shastri at Dtnur Main Road, Bangalore RT Nagar, painted inner and outer walls of first-class government college building, changing broken window glasses, window wash repair, floor tiles, toilets for toilets and toilet wash and outer premises waste Emergency repair work.",4.98
67,2013-14,3,"Detailed estimate for construction of dining hall at Ground floor to H.S.I.S Govt, Urdu School, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore (Stage-1)","Detailed estimate for construction of dining hall at Ground floor to H.S.I.S Govt, Urdu School, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore (Stage-1)",10.0
68,2013-14,4,"Detailed estimate for construction of dining hall at Ground floor to H.S.I.S Govt, Urdu School, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore (Stage-2)","Detailed estimate for construction of dining hall at Ground floor to H.S.I.S Govt, Urdu School, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore (Stage-2)",7.0
69,2013-14,5,"Detailed estimate for construction of class room at first floor to H.S.I.S Govt, Urdu School, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore (Stage-1)","Detailed estimate for construction of class room at first floor to H.S.I.S Govt, Urdu School, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore (Stage-1)",10.0
70,2013-14,6,"Detailed estimate for construction of class room at first floor to H.S.I.S Govt, Urdu School, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore (Stage-2),Detailed estimate for providing cement concrete works in the Entrance of Govt, Kannada and Tamil Model school, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. Detailed estimate for providing cement concrete works in Assembly area of Govt, Girls High School, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ","Detailed estimate for construction of class room at first floor to H.S.I.S Govt, Urdu School, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore (Stage-2),Detailed estimate for providing cement concrete works in the Entrance of Govt, Kannada and Tamil Model school, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. Detailed estimate for providing cement concrete works in Assembly area of Govt, Girls High School, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ",8.0
71,2013-14,7,"Providing CC road from Soundar main road to Sondar cross road at Frazer Town, Pulikeshinagar Assembly Constituency Bangalore.","Providing CC road from Soundar main road to Sondar cross road at Frazer Town, Pulikeshinagar Assembly Constituency Bangalore.",2.5
72,2013-14,8,"Providing CC road from Soundar main road to Sondar cross road to Srinivas house at Frazer Town, Pulikeshinagar Assembly Constituency Bangalore.","Providing CC road from Soundar main road to Sondar cross road to Srinivas house at Frazer Town, Pulikeshinagar Assembly Constituency Bangalore.",2.5
73,2013-14,9,"Providing CC road from Srinivas house to Limra Masjid at Frazer Town, Pulikeshinagar Assembly Constituency Bangalore.","Providing CC road from Srinivas house to Limra Masjid at Frazer Town, Pulikeshinagar Assembly Constituency Bangalore.",2.5
74,2013-14,10,"Providing CC road from Limra Masjid to Suresh house at Frazer Town, Pulikeshinagar Assembly Constituency Bangalore.","Providing CC road from Limra Masjid to Suresh house at Frazer Town, Pulikeshinagar Assembly Constituency Bangalore.",2.5
75,2013-14,11,"Construction of RCC Drain from Soundar’s main road to cross roads at, Pulikeshinagar Assembly Constituency Bangalore.","Construction of RCC Drain from Soundar’s main road to cross roads at, Pulikeshinagar Assembly Constituency Bangalore.",2.5
76,2013-14,12,"Detailed estimate for construction of RCC Drain and compound wall and water proofing works at Govt, Girls High School, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ","Detailed estimate for construction of RCC Drain and compound wall and water proofing works at Govt, Girls High School, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ",10.0
77,2013-14,13,"Detailed estimate for Construction of Stage in Assembly hall at Govt, Girls High School, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ","Detailed estimate for Construction of Stage in Assembly hall at Govt, Girls High School, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ",6.0
78,2013-14,14,"Detailed estimate for Construction of Toilet blocks to at Govt, Girls High School, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ","Detailed estimate for Construction of Toilet blocks to at Govt, Girls High School, Cleve land town, Robertson road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ",9.0
79,2013-14,15,"Detailed estimate for Construction of Anganawadi and Room to Govt Kannada Model Primary school at Muneshwatanagar, Pulakeshinagar Asembly Constituency, Bangalore. (Stage-1)","Detailed estimate for Construction of Anganawadi and Room to Govt Kannada Model Primary school at Muneshwatanagar, Pulakeshinagar Asembly Constituency, Bangalore. (Stage-1)",10.0
80,2013-14,16,"Detailed estimate for Construction of Anganawadi and Room to Govt Kannada Model Primary school at Muneshwatanagar, Pulakeshinagar Asembly Constituency, Bangalore. (Stage-2)","Detailed estimate for Construction of Anganawadi and Room to Govt Kannada Model Primary school at Muneshwatanagar, Pulakeshinagar Asembly Constituency, Bangalore. (Stage-2)",5.0
81,2013-14,17,"Detailed estimate for Construction of Compound wall to Govt Kannada Model Primary school at Muneshwatanagar, Pulakeshinagar Asembly Constituency, Bangalore. ","Detailed estimate for Construction of Compound wall to Govt Kannada Model Primary school at Muneshwatanagar, Pulakeshinagar Asembly Constituency, Bangalore. ",7.0
82,2013-14,18,"Detailed estimate for Providing Cement Concrete works and Arch at Entrance of Govt Kannada Model Primary school at Muneshwatanagar, Pulakeshinagar Asembly Constituency, Bangalore. ","Detailed estimate for Providing Cement Concrete works and Arch at Entrance of Govt Kannada Model Primary school at Muneshwatanagar, Pulakeshinagar Asembly Constituency, Bangalore. ",10.0
83,2013-14,19,"Construction of Water Purifier Unit at Govt, Kannada Model Primary School at Muneshwaranagar, Pulakeshinagar Assembly Constituency, Bangalore.","Construction of Water Purifier Unit at Govt, Kannada Model Primary School at Muneshwaranagar, Pulakeshinagar Assembly Constituency, Bangalore.",8.0
84,2013-14,20,"Detailed estimate for Sinking of borewell, providing pumping machinery, Pipeline facilities at Stephenson cross road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ","Detailed estimate for Sinking of borewell, providing pumping machinery, Pipeline facilities at Stephenson cross road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. ",10.0
85,2013-14,21,"Detailed estimate for Additional works of dining hall to Good Will's Girls School St. John's road in Pulakeshinagar Asembly Constituency, Bangalore. ","Detailed estimate for Additional works of dining hall to Good Will's Girls School St. John's road in Pulakeshinagar Asembly Constituency, Bangalore. ",8.0
86,2013-14,22,"Detailed estimate for Construction of Pavilion Block, dining hall and other improvement works to St. Joseph's Girls Primary and High School, Spencer road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. (Stage-1)","Detailed estimate for Construction of Pavilion Block, dining hall and other improvement works to St. Joseph's Girls Primary and High School, Spencer road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. (Stage-1)",10.0
87,2013-14,23,"Detailed estimate for Construction of Pavilion Block, dining hall and other improvement works to St. Joseph's Girls Primary and High School, Spencer road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. (Stage-2)","Detailed estimate for Construction of Pavilion Block, dining hall and other improvement works to St. Joseph's Girls Primary and High School, Spencer road, Frazer town, Pulakeshinagar Asembly Constituency, Bangalore. (Stage-2)",12.0
88,2013-14,24,"Construction of Anganawadi and Tailoring Class Ground floor building at Saukar Lane Kushalnagar,  Pulakeshinagar Asembly Constituency, Bangalore. ","Construction of Anganawadi and Tailoring Class Ground floor building at Saukar Lane Kushalnagar,  Pulakeshinagar Asembly Constituency, Bangalore. ",10.0
89,2013-14,25,"Construction of Anganawadi and Tailoring Class Ground floor building at Saukar Lane Kushalnagar,  Pulakeshinagar Asembly Constituency, Bangalore. (Stage-1)","Construction of Anganawadi and Tailoring Class Ground floor building at Saukar Lane Kushalnagar,  Pulakeshinagar Asembly Constituency, Bangalore. (Stage-1)",5.0
90,2013-14,26,"Construction of Anganawadi and Tailoring Class Ground floor building at Saukar Lane Kushalnagar,  Pulakeshinagar Asembly Constituency, Bangalore. (Stage-2)","Construction of Anganawadi and Tailoring Class Ground floor building at Saukar Lane Kushalnagar,  Pulakeshinagar Asembly Constituency, Bangalore. (Stage-2)",5.0
91,2013-14,27,"Improvement and providing MS gate to AK Colony Pariyar Nagar, 1st cross, Pulikeshinagar Assembly Constituency, Bangalore. (SC/ST)","Improvement and providing MS gate to AK Colony Pariyar Nagar, 1st cross, Pulikeshinagar Assembly Constituency, Bangalore. (SC/ST)",2.0
92,2013-14,28,"Providing drinking water supply, pipe line, pumping machinery, UG Cable and Tank Mohalla Slum Board quarters, 1st cross, S.K.Garden, W.No.61, Pulikeshinagara Assembly Constituency, Bangalore (SC/ST)","Providing drinking water supply, pipe line, pumping machinery, UG Cable and Tank Mohalla Slum Board quarters, 1st cross, S.K.Garden, W.No.61, Pulikeshinagara Assembly Constituency, Bangalore (SC/ST)",1.0
93,2013-14,29,"Providing drinking water supply, pipe line, pumping machinery, UG Cable and Tank Mohalla Slum Board quarters, 2nd cross, S.K.Garden, W.No.61, Pulikeshinagara Assembly Constituency, Bangalore (SC/ST)","Providing drinking water supply, pipe line, pumping machinery, UG Cable and Tank Mohalla Slum Board quarters, 2nd cross, S.K.Garden, W.No.61, Pulikeshinagara Assembly Constituency, Bangalore (SC/ST)",1.0
94,2013-14,30,"Providing drinking water supply, pipe line, pumping machinery, UG Cable and Tank Mohalla Slum Board quarters, 4th cross, S.K.Garden, W.No.61, Pulikeshinagara Assembly Constituency, Bangalore (SC/ST)","Providing drinking water supply, pipe line, pumping machinery, UG Cable and Tank Mohalla Slum Board quarters, 4th cross, S.K.Garden, W.No.61, Pulikeshinagara Assembly Constituency, Bangalore (SC/ST)",1.0
95,2013-14,31,"Providing drinking water supply, pipe line, pumping machinery, UG Cable and Tank Mohalla Slum Board quarters, 5th cross, S.K.Garden, W.No.61, Pulikeshinagara Assembly Constituency, Bangalore (SC/ST)","Providing drinking water supply, pipe line, pumping machinery, UG Cable and Tank Mohalla Slum Board quarters, 5th cross, S.K.Garden, W.No.61, Pulikeshinagara Assembly Constituency, Bangalore (SC/ST)",1.0
96,2013-14,32,"Providing pumping machinery, Public Fountain at 1st cross, near Lababi Masjid, left side Muneshwara nagara Assembly Constituency, Bangalore.","Providing pumping machinery, Public Fountain at 1st cross, near Lababi Masjid, left side Muneshwara nagara Assembly Constituency, Bangalore.",1.0
97,2013-14,33,"Providing pumping machinery, Public Fountain at 2nd cross, near Lababi Masjid, left side Muneshwara nagara Assembly Constituency, Bangalore.","Providing pumping machinery, Public Fountain at 2nd cross, near Lababi Masjid, left side Muneshwara nagara Assembly Constituency, Bangalore.",1.0
98,2013-14,34,"Providing pumping machinery, Public Fountain at cross road, near Lababi Masjid, left side Muneshwara nagara Assembly Constituency, Bangalore.","Providing pumping machinery, Public Fountain at cross road, near Lababi Masjid, left side Muneshwara nagara Assembly Constituency, Bangalore.",1.0
99,2013-14,35,"ಕು|| ಶಹಿನಾ ಬಿನ್ ಅಬ್ದುಲ್ ಖಾದರ್, ಶ್ರೀರಾಮ ಟೆಂಪಲ್ ಕ್ರಾಸ್, ಡಿ.ಜೆ.ಹಳ್ಳಿ, ಬೆಂಗಳೂರು-45. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Ku Shahina bin Abdul Khader, Sri Ram Temple Cross, DJ Halli, Bangalore-45. For a three-wheel drive vehicle.",0.82
100,2014-15,1,"Providing drinking water supply and pumping machinery pipe line and public foundation at 1st cross, Shamanna Gowda road, behind R.K.Palace, Cauvery Nagar, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.","Providing drinking water supply and pumping machinery pipe line and public foundation at 1st cross, Shamanna Gowda road, behind R.K.Palace, Cauvery Nagar, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.",10.0
101,2014-15,2,"Providing drinking water supply and pumping machinery pipe line and public foundation at 1st main, Adarshanagara, KHB main road, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.","Providing drinking water supply and pumping machinery pipe line and public foundation at 1st main, Adarshanagara, KHB main road, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.",10.0
102,2014-15,3,"Providing drinking water supply and pumping machinery pipe line and public foundation at 1st main, 1st cross, Muniveerappa layout, Shampur, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.","Providing drinking water supply and pumping machinery pipe line and public foundation at 1st main, 1st cross, Muniveerappa layout, Shampur, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.",10.0
103,2014-15,4,"Providing drinking water supply and pumping machinery pipe line and public foundation at Doddamma Devi Temple, Shampur, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.","Providing drinking water supply and pumping machinery pipe line and public foundation at Doddamma Devi Temple, Shampur, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.",10.0
104,2014-15,5,"Providing drinking water supply and pumping machinery pipe line and public foundation at CIL Ramaiah layout, 7th cross, Shampura layout, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.","Providing drinking water supply and pumping machinery pipe line and public foundation at CIL Ramaiah layout, 7th cross, Shampura layout, Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore.",10.0
105,2014-15,6,"Providing R.O.Purified Drinking Water Unit at Shampur Village, Near Bus Stand, SC/ST Colony in Ward No.32, in Pulikeshinagar Assembly Constituency, Bangalore","Providing R.O.Purified Drinking Water Unit at Shampur Village, Near Bus Stand, SC/ST Colony in Ward No.32, in Pulikeshinagar Assembly Constituency, Bangalore",25.0
106,2014-15,7,"Providing R.O.Purified Drinking Water Unit at Sultanpalya, SC/ST Colony in Ward No.32, in Pulikeshinagar Assembly Constituency, Bangalore","Providing R.O.Purified Drinking Water Unit at Sultanpalya, SC/ST Colony in Ward No.32, in Pulikeshinagar Assembly Constituency, Bangalore",25.0
107,2014-15,8,"Providing R.O.Purified Drinking Water Unit at Basavanagar, SC/ST Colony in Ward No.31, in Pulikeshinagar Assembly Constituency, Bangalore","Providing R.O.Purified Drinking Water Unit at Basavanagar, SC/ST Colony in Ward No.31, in Pulikeshinagar Assembly Constituency, Bangalore",25.0
108,2014-15,9,"Providing R.O.Purified Drinking Water Unit at Muslim Colony, Kushalnagar, in Ward No.31, in Pulikeshinagar Assembly Constituency, Bangalore","Providing R.O.Purified Drinking Water Unit at Muslim Colony, Kushalnagar, in Ward No.31, in Pulikeshinagar Assembly Constituency, Bangalore",25.0
109,2014-15,10,"Providing R.O Purified Drinking Water Unit at Ayodhyadas nagar, in Ward No.48, in Pulikeshinagar Assembly Constituency","Providing R.O Purified Drinking Water Unit at Ayodhyadas nagar, in Ward No.48, in Pulikeshinagar Assembly Constituency",0.0
110,2014-15,11,"Providing R.O.Purified Drinking Water Unit at Frazer Town near Muneshwar Temple, in Ward No.78, in Pulikeshinagar Assembly Constituency, Bangalore","Providing R.O.Purified Drinking Water Unit at Frazer Town near Muneshwar Temple, in Ward No.78, in Pulikeshinagar Assembly Constituency, Bangalore",0.0
111,2014-15,12,"(ಬದಲಿ ಕಾಮಗಾರಿ) Providing cement concrete Road from Watchmen room to First Grade College in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore(Stage-1).","(Replacement work) Providing cement concrete Road from Watchmen room to First Grade College in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore(Stage-1).",2.5
112,2014-15,13,"Providing cement concrete Road from Watchmen room to First Grade College in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore(Stage-2).","Providing cement concrete Road from Watchmen room to First Grade College in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore(Stage-2).",2.5
113,2014-15,14,"Providing cement concrete Road from First Grade College to Tamil School Gate in                   Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             (Stage-1).","Providing cement concrete Road from First Grade College to Tamil School Gate in                   Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             (Stage-1).",2.5
114,2014-15,15,"Providing cement concrete Road from First Grade College to Tamil School Gate in                   Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             (Stage-2).","Providing cement concrete Road from First Grade College to Tamil School Gate in                   Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             (Stage-2).",2.5
115,2014-15,16,"Providing cement concrete Road from Tamil School Gate to Tamil School Entrance in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             (Stage-1).","Providing cement concrete Road from Tamil School Gate to Tamil School Entrance in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             (Stage-1).",2.5
116,2014-15,17,"Providing cement concrete Road from Tamil School Gate to Tamil School Entrance in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             (Stage-2).","Providing cement concrete Road from Tamil School Gate to Tamil School Entrance in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             (Stage-2).",2.5
117,2014-15,18,"Providing cement concrete Road from AT rtc Girls School in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             ","Providing cement concrete Road from AT rtc Girls School in Ward No.78 Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore             ",1.5
118,2014-15,19,"Providing Asphalting Road from Manjunatha Traders to Aliana Medicals, 7th Main, 1st Cross, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing Asphalting Road from Manjunatha Traders to Aliana Medicals, 7th Main, 1st Cross, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.5
119,2014-15,20,"Providing Asphalting Road from Aliana Medicals to Khalandaz Clinic to Sri Srinivasa Stores, 1st Main, 1st Cross Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing Asphalting Road from Aliana Medicals to Khalandaz Clinic to Sri Srinivasa Stores, 1st Main, 1st Cross Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.0
120,2014-15,21,"Providing Asphalting Road from Sri Srinivasa Stores to Manjunatha Traders, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing Asphalting Road from Sri Srinivasa Stores to Manjunatha Traders, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",1.0
121,2014-15,22,"Providing cement concrete Road             from Sri Ganesh Nilayam to      Sri Banashankari Nilaya in 3rd   G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing cement concrete Road             from Sri Ganesh Nilayam to      Sri Banashankari Nilaya in 3rd   G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.5
122,2014-15,23,"Providing cement concrete Road from Sri Banashankari Nilaya            to Devaki Ramamurty IIIam in            3rd   G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore ","Providing cement concrete Road from Sri Banashankari Nilaya            to Devaki Ramamurty IIIam in            3rd   G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore ",2.5
123,2014-15,24,"Providing cement concrete Road from Devaki Ramamurty IIIam to Surity Nilaya in 3rd   G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing cement concrete Road from Devaki Ramamurty IIIam to Surity Nilaya in 3rd   G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.5
124,2014-15,25,"Providing cement concrete Road from Surity Nilaya to Al-Haj-Syed Inayathulla in 3rd   G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing cement concrete Road from Surity Nilaya to Al-Haj-Syed Inayathulla in 3rd   G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.5
125,2014-15,26,"Providing cement concrete Road from Al-Haj-Syed Inayathulla to Lakshmamma House in 3rd             G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing cement concrete Road from Al-Haj-Syed Inayathulla to Lakshmamma House in 3rd             G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.5
126,2014-15,27,"Providing cement concrete Road from Lakshmamma House to Mhammed Zahid House in  3rd      G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing cement concrete Road from Lakshmamma House to Mhammed Zahid House in  3rd      G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.5
127,2014-15,28,"Providing cement concrete Road from Mhammed Zahid House to Ashwak House in  3rd              G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing cement concrete Road from Mhammed Zahid House to Ashwak House in  3rd              G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.5
128,2014-15,29,"Providing cement concrete Road from Ashwak House to Ameeer Khan house in  3rd     G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore","Providing cement concrete Road from Ashwak House to Ameeer Khan house in  3rd     G-Main Road, Nagamma Layout, Kavalbyrasandra Ward No.32, Pulikeshinagar Assembly Constituency, Bangalore",2.5
129,2014-15,30,"Providing cement concrete Road from Roberts Road to Watchmen room in Ward No.78, Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore (Stage-1)","Providing cement concrete Road from Roberts Road to Watchmen room in Ward No.78, Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore (Stage-1)",2.5
130,2014-15,31,"Providing cement concrete Road from Roberts Road to Watchmen room in Ward No.78, Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore (Stage-2)","Providing cement concrete Road from Roberts Road to Watchmen room in Ward No.78, Frazer Town, Pulikeshinagar Assembly Constituency, Bangalore (Stage-2)",2.5
131,2015-16,1,"ಎಸರ್ ಮೇಕ್ ಕೋರ್ ಐ-3,                 10 ಕಂಪ್ಯೂಟರ್, ಹೆಚ್ಚವರಿ 4ಜಿಬಿ ಡಿಡಿಆರ್-2 ರ್ಯಾಮ್, 10ಎಂ.ಎಸ್ ಆಫೀಸ್ ಸಾಪ್ಟ್‍ವೇರ್.ಬಿ.ಬಿ.ಎಂ.ಪಿ ಗಲ್ರ್ಸ್ ಹೈ ಸ್ಕೂಲ್, ರಾಬಟ್ರ್ಸ್ ಅಂಡ್ ರೋಡ್.","Essar Makeover Core i3, 10 Computer, Increase 4 GB DDR2 RAM, 10 MS Office Software.BBMP Gulers High School, Roberts & Road. ",6.0
132,2015-16,2,"ಎಸರ್ ಮೇಕ್ ಕೋರ್ ಐ-3, 10 ಕಂಪ್ಯೂಟರ್, ಹೆಚ್ಚವರಿ 4ಜಿಬಿ ಡಿಡಿಆರ್-2 ರ್ಯಾಮ್, 10ಎಂ.ಎಸ್ ಆಫೀಸ್ ಸಾಪ್ಟ್‍ವೇರ್ ಸರ್ಕಾರಿ ಉರ್ದು ಹೈಸ್ಕೂಲ್, ಡಿ.ಜಿ.ಹಳ್ಳಿ.","Essar Makeover Core i3, 10 Computer, Increase 4 GB DDR2 RAM, 10 MS Office Software Government Urdu High School, DG Halli.",6.0
133,2015-16,3,"ಎಸರ್ ಮೇಕ್ ಕೋರ್ ಐ-3, 10 ಕಂಪ್ಯೂಟರ್, ಹೆಚ್ಚವರಿ 4ಜಿಬಿ ಡಿಡಿಆರ್-2 ರ್ಯಾಮ್, 10ಎಂ.ಎಸ್ ಆಫೀಸ್ ಸಾಪ್ಟ್‍ವೇರ್ ಸÉಂಟ್ ಅಲೋಸಿಯಸ್ ಹೈಸ್ಕೂಲ್ ಕೋಲ್ಸ್ ಪಾರ್ಕ್.","Essar Makeover Core i-3, 10 Computer, Increase 4 GB DDR2 RAM, 10 MS Office Software and alloys High School Cols Park.",6.0
134,2015-16,4,"ಎಸರ್ ಮೇಕ್ ಕೋರ್ ಐ-3, 10 ಕಂಪ್ಯೂಟರ್, ಹೆಚ್ಚವರಿ 4ಜಿಬಿ ಡಿಡಿಆರ್-2 ರ್ಯಾಮ್, 10ಎಂ.ಎಸ್ ಆಫೀಸ್ ಸಾಪ್ಟ್‍ವೇರ್ ಸೆಂಟ್ ಜೋಸೆಪ್ ಸ್ಕೂಲ್","Essar Makeover Core i-3, 10 Computer, Increase 4 GB DDR2 RAM, 10 MS Office Software St Joseph's School",6.0
135,2015-16,5,"ಎಸರ್ ಮೇಕ್ ಕೋರ್ ಐ-3,                 5 ಕಂಪ್ಯೂಟರ್, ಹೆಚ್ಚವರಿ 4ಜಿಬಿ ಡಿಡಿಆರ್-2 ರ್ಯಾಮ್, 5ಎಂ.ಎಸ್ ಆಫೀಸ್ ಸಾಪ್ಟ್‍ವೇರ್ ಆರ್.ಟಿ.ಸಿ ಸ್ಕೂಲ್ ಸರ್ಕಾರಿ ಕನ್ನಡ ಶಾಲೆ.","Essar Makeover Core i3, 5 Computer, Increase 4 GB DDR2 RAM, 5 MS Office Software RTC School Government Kannada School.",3.0
136,2015-16,6,"ಎಸರ್ ಮೇಕ್ ಕೋರ್ ಐ-3,                  5 ಕಂಪ್ಯೂಟರ್, ಹೆಚ್ಚವರಿ 4ಜಿಬಿ ಡಿಡಿಆರ್-2 ರ್ಯಾಮ್, 5ಎಂ.ಎಸ್ ಆಫೀಸ್ ಸಾಪ್ಟ್‍ವೇರ್ ಬಿ.ಬಿ.ಎಂ.ಪಿ ಸ್ಕೂಲ್ ಎಸ್.ಕೆ ಗಾರ್ಡನ್","Essar Makeover Core i3, 5 Computer, Increase 4 GB DDR2 RAM, 5 MS Office Software BBMP School SK Garden",3.0
