Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
81,2014-15,17,"Providing of Cement concrete road near D vijayarangan hosue no.10 4th Stree, nan kamarajan road cross in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore.","Providing of Cement concrete road near D vijayarangan hosue no.10 4th Stree, nan kamarajan road cross in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore.",2.5
82,2014-15,18,"Providing of Cement concrete road from ganapathy nilayam to Kumar swamy house in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore.","Providing of Cement concrete road from ganapathy nilayam to Kumar swamy house in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore.",1.7
83,2014-15,19,"Providing of Cement concrete road from Dr.Venkata raman Street, to T.S. padman abhan House in no.12, clockpet ""C' Street, Shivanashetty Gonden in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -2","Providing of Cement concrete road from Dr.Venkata raman Street, to T.S. padman abhan House in no.12, clockpet ""C' Street, Shivanashetty Gonden in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -2",1.2
84,2014-15,20,"Providing of Cement concrete road near Maden kumar House in no.9, clockpet ""C' Street, Kamaraj road cross in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -2","Providing of Cement concrete road near Maden kumar House in no.9, clockpet ""C' Street, Kamaraj road cross in Bharathinagar ward no. 91, Shivajinagar Assembly Constituency, Bangalore   Stage -2",1.6
85,2014-15,21,"Details Estimate for improvement to sanitary line and providing C.C. Road from Shashikala House to  Noor Shariff House at Muthyalamma B Street Arunachalam Mudaluar Road, Ward No.92, Shivajinagar Assembly Constituency Bangalore","Details Estimate for improvement to sanitary line and providing C.C. Road from Shashikala House to  Noor Shariff House at Muthyalamma B Street Arunachalam Mudaluar Road, Ward No.92, Shivajinagar Assembly Constituency Bangalore",9.0
86,2014-15,22,"Details Estimate for improvement to sanitary line and providing C.C. Road from Mother's nest House Muthurayamma House, T NO.3/1, 1st Street Arunachalam Mudaliar Road, Ward No. 92  Shivajinagar Assembly Constituency Bangalore","Details Estimate for improvement to sanitary line and providing C.C. Road from Mother's nest House Muthurayamma House, T NO.3/1, 1st Street Arunachalam Mudaliar Road, Ward No. 92  Shivajinagar Assembly Constituency Bangalore",10.0
87,2014-15,23,"Details Estimate for improvement to Drain and Calvert, Removing Silt and Providing , CC Road Arunachalam Mudaliar Road, to Bharath Rice centre ward No.92, Shivajinagar Assembly Constituency Bangalore","Details Estimate for improvement to Drain and Calvert, Removing Silt and Providing , CC Road Arunachalam Mudaliar Road, to Bharath Rice centre ward No.92, Shivajinagar Assembly Constituency Bangalore",10.0
88,2014-15,24,"Details Estimate for improvement to Drain and Calvert, Removing Silt and Providing , C.C Road Bharath Rice Centre to Karnataka Suguna Chicken Centre ward No.92, Shivajinagar Assembly Constituency Bangalore","Details Estimate for improvement to Drain and Calvert, Removing Silt and Providing , C.C Road Bharath Rice Centre to Karnataka Suguna Chicken Centre ward No.92, Shivajinagar Assembly Constituency Bangalore",10.0
89,2014-15,25,"Details Estimate for improvement to Drain and Calvert, Removing Silt and Providing , C.C Road Karnataka Suguna Chicken Centre to MM Tea Centre,  ward No.92, Shivajinagar Assembly Constituency Bangalore","Details Estimate for improvement to Drain and Calvert, Removing Silt and Providing , C.C Road Karnataka Suguna Chicken Centre to MM Tea Centre,  ward No.92, Shivajinagar Assembly Constituency Bangalore",7.7
90,2014-15,26,"Details Estimate for Providing C.C. Road from Shivan Chetty Garden Main Road to Sri.Laksmi Narayan Nivas at shivan Chetty Garden , Ward No.91, Shivajinagar Assembly Constituency Bangalore","Details Estimate for Providing C.C. Road from Shivan Chetty Garden Main Road to Sri.Laksmi Narayan Nivas at shivan Chetty Garden , Ward No.91, Shivajinagar Assembly Constituency Bangalore",2.5
91,2014-15,27,"Details Estimate for providing C.C. Road, From A.J.Appartment to Sri. Sai Nivas at Shivan Chetty Garden, Ward No.91 Shivajaingar Assembly Constituency Bangalore","Details Estimate for providing C.C. Road, From A.J.Appartment to Sri. Sai Nivas at Shivan Chetty Garden, Ward No.91 Shivajaingar Assembly Constituency Bangalore",2.5
92,2014-15,28,"Details Estimate for providing C.C. Road, From Shivan Chetty Garden Main Road to Sri. Lakshmi narayan Nivas at Shivan Chetty Garden Ward No.91, Shivajinagar Assembly Constituency Bangalore","Details Estimate for providing C.C. Road, From Shivan Chetty Garden Main Road to Sri. Lakshmi narayan Nivas at Shivan Chetty Garden Ward No.91, Shivajinagar Assembly Constituency Bangalore",2.5
93,2014-15,29,"Details Estimate for providing C.C. Road, From 2nd Street, ro N.Mohan House at Shivan Chetty Garden, Ward No.91, Shivajinagar Assembly Constituency Bangalore","Details Estimate for providing C.C. Road, From 2nd Street, ro N.Mohan House at Shivan Chetty Garden, Ward No.91, Shivajinagar Assembly Constituency Bangalore",2.5
94,2014-15,30,"Details Estimate for providing C.C. Road, From Sri.Raghavendra Swamy Nilayam to Varalaksjmi Nilayam at Shivan Chetty Garden, Ward No.91 Shivajinagar Assembly Constituency Bangalore","Details Estimate for providing C.C. Road, From Sri.Raghavendra Swamy Nilayam to Varalaksjmi Nilayam at Shivan Chetty Garden, Ward No.91 Shivajinagar Assembly Constituency Bangalore",2.5
95,2014-15,31,"Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Ruby Tea Stall (M.K.Street Cross) to Lakshmi Hair Dress, No.41/3, Market Street, Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Ruby Tea Stall (M.K.Street Cross) to Lakshmi Hair Dress, No.41/3, Market Street, Ward No.91, Shivajinagara Assembly Constituency, Bangalore",10.0
96,2014-15,32,"Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Russel Market guest House to S.S.Print Market Street, Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Russel Market guest House to S.S.Print Market Street, Ward No.91, Shivajinagara Assembly Constituency, Bangalore",10.0
97,2014-15,33,"Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from S.S.Print to Madiha Fashion Vounter in Market Street, Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from S.S.Print to Madiha Fashion Vounter in Market Street, Ward No.91, Shivajinagara Assembly Constituency, Bangalore",10.0
98,2014-15,34,"Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Madiha Fashion Counter to Lakshmi Hair Dress in Market Street, Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Madiha Fashion Counter to Lakshmi Hair Dress in Market Street, Ward No.91, Shivajinagara Assembly Constituency, Bangalore",3.0
99,2014-15,35,"Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Khwaja Roshan Ali iron to C.S Ramaswamy Shetty & Sons Jewellaries, 3rd Cross in Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Khwaja Roshan Ali iron to C.S Ramaswamy Shetty & Sons Jewellaries, 3rd Cross in Ward No.91, Shivajinagara Assembly Constituency, Bangalore",6.0
100,2014-15,36,"Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Khwaja Roshan Ali iron to Irfan cane Furniture in 2nd Street, 2nd Cross in Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Providing of SSm Drain with Kerv Stone and Cement  Concrete Road from Khwaja Roshan Ali iron to Irfan cane Furniture in 2nd Street, 2nd Cross in Ward No.91, Shivajinagara Assembly Constituency, Bangalore",6.0
101,2014-15,37,"Providing of Cement Concrete Road with Kerb Stone work at Right Side from Shivajinagara Police Station (Law & Order, Traffic, SJPU) Broadway to Govt Tamil Higher Primary School in Cockburn Road, Ward No.92, Shivajinagara Assembly Constituency, Bangalore","Providing of Cement Concrete Road with Kerb Stone work at Right Side from Shivajinagara Police Station (Law & Order, Traffic, SJPU) Broadway to Govt Tamil Higher Primary School in Cockburn Road, Ward No.92, Shivajinagara Assembly Constituency, Bangalore",6.0
102,2015-16,1,"Providing of SSM Drain with Culvert and Cement Concrete Road from S.V.Print No.50 Feet Road, Next to Rima Road in ward No.92, Shivajinagara Assembly Constituency Bangalore","Providing of SSM Drain with Culvert and Cement Concrete Road from S.V.Print No.50 Feet Road, Next to Rima Road in ward No.92, Shivajinagara Assembly Constituency Bangalore",10.0
103,2015-16,2,"Providing of SSM Drain and Deck Slab work with Kerb Stone at Left Side from Govt. Tamil higher Primary School to Shivajinagara Police Station (Law & Order, Traffic SJPU) Broadway in Cockburn Road, Ward No.92, Shivajinagara Assembly Constituency Bangalore","Providing of SSM Drain and Deck Slab work with Kerb Stone at Left Side from Govt. Tamil higher Primary School to Shivajinagara Police Station (Law & Order, Traffic SJPU) Broadway in Cockburn Road, Ward No.92, Shivajinagara Assembly Constituency Bangalore",10.0
104,2015-16,3,"Providing of SSM Drain and Deck Slab work with Kerb Stone at Left Side From Shivajinagara Police Station  (Law & Order, Traffic SJPU) to BBMP Community Hall in  Cockburn Road, Ward No.92, Shivajinagara Assembly Constituency Bangalore","Providing of SSM Drain and Deck Slab work with Kerb Stone at Left Side From Shivajinagara Police Station  (Law & Order, Traffic SJPU) to BBMP Community Hall in  Cockburn Road, Ward No.92, Shivajinagara Assembly Constituency Bangalore",10.0
105,2015-16,4,"Providing of Cement Concrete Road with Kerb Stone work from R.S.Muneer House to Mehaboob Manjil at ""L"" 5th Street Ceoss in ward No.91, Shivajinagara Assembly Constituency Bangalore","Providing of Cement Concrete Road with Kerb Stone work from R.S.Muneer House to Mehaboob Manjil at ""L"" 5th Street Ceoss in ward No.91, Shivajinagara Assembly Constituency Bangalore",5.0
106,2015-16,5,"Construction of Compound wall at Block pally Government urdu Higher Primary school North-3 at ward No.92, Shivajijanagara Assembly Constituency Bangalore","Construction of Compound wall at Block pally Government urdu Higher Primary school North-3 at ward No.92, Shivajijanagara Assembly Constituency Bangalore",10.0
107,2015-16,6,"Providing of M.S.Grill Gate at Vlock Pally Governmnet Urdu Higher Primary School North-3 at Ward No.92, Shivajinagar Assembly Constituency Bangalore","Providing of M.S.Grill Gate at Vlock Pally Governmnet Urdu Higher Primary School North-3 at Ward No.92, Shivajinagar Assembly Constituency Bangalore",1.0
108,2015-16,7,"Purchase and Fixing 15 No's of Computers alont with M.S.Office Ralimania Govt School No.198, Thimmaiah Road at ward No.91, Shivajinagara Assembly Constituency, Bangalore","Purchase and Fixing 15 No's of Computers alont with M.S.Office Ralimania Govt School No.198, Thimmaiah Road at ward No.91, Shivajinagara Assembly Constituency, Bangalore",8.2
109,2015-16,8,"Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from S.V.Printers cooks road to al madhia Ladies tailring at coocks road in ward No.92, Shivajinagara Assembly Constituency Bangalore","Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from S.V.Printers cooks road to al madhia Ladies tailring at coocks road in ward No.92, Shivajinagara Assembly Constituency Bangalore",10.0
110,2015-16,9,"Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from al madhia Ladies tailring to  Vinayaka Diagnostic Centre at coocks road in ward No.92, Shivajinagara Assembly Constituency Bangalore","Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from al madhia Ladies tailring to  Vinayaka Diagnostic Centre at coocks road in ward No.92, Shivajinagara Assembly Constituency Bangalore",10.0
111,2015-16,10,"Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from   Vinayaka Diagnostic Centre to zain avenue No.22 Arunachalam mudhaliar road  in ward No.92, Shivajinagara Assembly Constituency Bangalore","Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from   Vinayaka Diagnostic Centre to zain avenue No.22 Arunachalam mudhaliar road  in ward No.92, Shivajinagara Assembly Constituency Bangalore",10.0
112,2015-16,11,"Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from  zain avenue No.22 Arunachalam mudhaliar road to S.V.Printers coocks road  in ward No.92, Shivajinagara Assembly Constituency Bangalore","Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from  zain avenue No.22 Arunachalam mudhaliar road to S.V.Printers coocks road  in ward No.92, Shivajinagara Assembly Constituency Bangalore",10.0
113,2015-16,12,"Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from  zain avenue No.22 Arunachalam mudhaliar cross road   in ward No.92, Shivajinagara Assembly Constituency Bangalore","Providing of S.S.M Drain cement concrete road and culvert with kerb stone work from  zain avenue No.22 Arunachalam mudhaliar cross road   in ward No.92, Shivajinagara Assembly Constituency Bangalore",4.0
114,2015-16,13,"Improvements to SSM Drain & Culvert at 2nd Main Road, Left side in Chinnappa Garden, Ramaswamy Palya ward No.62, Shivajinagara Assembly Constituency, Bangalore","Improvements to SSM Drain & Culvert at 2nd Main Road, Left side in Chinnappa Garden, Ramaswamy Palya ward No.62, Shivajinagara Assembly Constituency, Bangalore",8.92
115,2015-16,14,"Improvements to RCC drain & Culvert in 3rd Main Road & CC Road in left side Chinnappa Garden Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore","Improvements to RCC drain & Culvert in 3rd Main Road & CC Road in left side Chinnappa Garden Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore",6.54
116,2015-16,15,"Improvements to SSm drain & Culvert in 7th Cross 4th Main Road, Chinnappa Garden Ramaswamy Palya in ward No. 62, Shivajinagar Assembly Constituency, Bangalore","Improvements to SSm drain & Culvert in 7th Cross 4th Main Road, Chinnappa Garden Ramaswamy Palya in ward No. 62, Shivajinagar Assembly Constituency, Bangalore",1.86
117,2015-16,16,"Improvements to SSM drain & Culvert in Left Side Anjaneya Swamy Temple Road, Marappa Garden, 1st Cross, Ramaswamy Palya  in ward No.62, Shivajinagar Assembly Constituency Bangalore (Stage-1)","Improvements to SSM drain & Culvert in Left Side Anjaneya Swamy Temple Road, Marappa Garden, 1st Cross, Ramaswamy Palya  in ward No.62, Shivajinagar Assembly Constituency Bangalore (Stage-1)",10.0
118,2015-16,15,"Improvements to SSM drain & Culvert in Left Side Anjaneya Swamy Temple Road, Marappa Garden, 1st Cross, Ramaswamy Palya  in ward No.62, Shivajinagar Assembly Constituency Bangalore (Stage-12","Improvements to SSM drain & Culvert in Left Side Anjaneya Swamy Temple Road, Marappa Garden, 1st Cross, Ramaswamy Palya  in ward No.62, Shivajinagar Assembly Constituency Bangalore (Stage-12",2.755
119,2015-16,16,"Improvements to SSM drain & Culvert in 4th Cross, Chinnapapa Garden, From Devine House to Canara Bank ATM, Ramaswamy Palya in ward No.62, Shivajinagara Assembly Constituency, Bangalore","Improvements to SSM drain & Culvert in 4th Cross, Chinnapapa Garden, From Devine House to Canara Bank ATM, Ramaswamy Palya in ward No.62, Shivajinagara Assembly Constituency, Bangalore",5.29
120,2015-16,17,"Improvements to road in 2nd Cross, Rajappa Block, Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore","Improvements to road in 2nd Cross, Rajappa Block, Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore",4.61
121,2015-16,18,"Improvements to SSm drain, Covering slab, curb stone & CC Road in 1st cross road, Marappa Block, Ramaswamy palya in ward No.62, Shivajinagar Assembly Constituency Bangalore","Improvements to SSm drain, Covering slab, curb stone & CC Road in 1st cross road, Marappa Block, Ramaswamy palya in ward No.62, Shivajinagar Assembly Constituency Bangalore",5.56
122,2015-16,19,"Improvements to road in Church Street, cross roads marappa Block Ramaswamy palya in ward no.62, Shivajinagar Assembly Constituency, Bangalore","Improvements to road in Church Street, cross roads marappa Block Ramaswamy palya in ward no.62, Shivajinagar Assembly Constituency, Bangalore",4.24
123,2015-16,20,"Improvements to Road at Marappa Block Cross Road from Sharief Manzil to Aaliya mansion, J.C.Nagar, Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore (Stage-1)","Improvements to Road at Marappa Block Cross Road from Sharief Manzil to Aaliya mansion, J.C.Nagar, Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore (Stage-1)",10.0
124,2015-16,21,"Improvements to Road at Marappa Block Cross Road from Sharief Manzil to Aaliya mansion, J.C.Nagar, Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore (Stage-2)","Improvements to Road at Marappa Block Cross Road from Sharief Manzil to Aaliya mansion, J.C.Nagar, Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore (Stage-2)",3.605
125,2015-16,22,"Improvements to road at Dr.Umar Colony, Marappa Block 1st Cross, Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore","Improvements to road at Dr.Umar Colony, Marappa Block 1st Cross, Ramaswamy Palya in ward No.62, Shivajinagar Assembly Constituency, Bangalore",6.62
126,2015-16,23,"Construction of Size stone Masonry wall to near Numeshwara Temple and Karumariamma temple at Rajaram Mohan Ray road in ward no.110, Sampangiramnagara","Construction of Size stone Masonry wall to near Numeshwara Temple and Karumariamma temple at Rajaram Mohan Ray road in ward no.110, Sampangiramnagara",2.2
127,2015-16,24,"Construction of new staircase near Muneshwara Temple Rajaram Mohan Ray road in ward No.110, Sampangiramanagar","Construction of new staircase near Muneshwara Temple Rajaram Mohan Ray road in ward No.110, Sampangiramanagar",2.2
128,2015-16,25,"Detailed Estimate for Providing CC Road, & Culverts in Rajappa Block, 1st Cross, Ramaswamy Palya Ward No.62, Shivaji Nagar Assembly Constituency, Bangalore","Detailed Estimate for Providing CC Road, & Culverts in Rajappa Block, 1st Cross, Ramaswamy Palya Ward No.62, Shivaji Nagar Assembly Constituency, Bangalore",10.0
129,2015-16,26,"Detailed Estimate for Providing Sanitary line in Rajappa Block, 1st Cross, Ramaswamy Palya Ward No.62, Shivaji Nagar Assembly Constituency, Bangalore","Detailed Estimate for Providing Sanitary line in Rajappa Block, 1st Cross, Ramaswamy Palya Ward No.62, Shivaji Nagar Assembly Constituency, Bangalore",9.0
130,2015-16,27,"Detailed Estimate for Providing CC Road, & Culverts in Rajappa Block, 2nd  Cross, Ramaswamy Palya Ward No.62, Shivaji Nagar Assembly Constituency, Bangalore","Detailed Estimate for Providing CC Road, & Culverts in Rajappa Block, 2nd  Cross, Ramaswamy Palya Ward No.62, Shivaji Nagar Assembly Constituency, Bangalore",5.24
131,2016-17,1,"Detailed Estimate for Construction of SSM Drain & Culvert from M.M. English Medium High School to K.Narayana swamy House at Old cementry Road, Taskar Town Ward No.63, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Construction of SSM Drain & Culvert from M.M. English Medium High School to K.Narayana swamy House at Old cementry Road, Taskar Town Ward No.63, Shivajinagar Assembly Constituency Bangalore",10.0
132,2016-17,2,"Detailed Estimate for Construction of SSM Drain & Culvert from K.Narayana Swamy House to Sr.Xaviers High School  Old cementry Road, Taskar Town Ward No.63, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Construction of SSM Drain & Culvert from K.Narayana Swamy House to Sr.Xaviers High School  Old cementry Road, Taskar Town Ward No.63, Shivajinagar Assembly Constituency Bangalore",6.0
133,2016-17,3,"Detailed Estimate for Construction of CC Road & Sanitary Line from Asha Deep House to R.R.Residency at Venkatappa Road, Queens Road Cross, Taskar Town ward No.63, Shivajinagar Assembly Constituency, Bangalore","Detailed Estimate for Construction of CC Road & Sanitary Line from Asha Deep House to R.R.Residency at Venkatappa Road, Queens Road Cross, Taskar Town ward No.63, Shivajinagar Assembly Constituency, Bangalore",10.0
134,2016-17,4,"Detailed Estimate for Construction of CC Road & Sanitary Line from  R.R.Residency to Amrutha Residenvy  at Venkatappa Road, Queens Road Cross, Taskar Town ward No.63, Shivajinagar Assembly Constituency, Bangalore","Detailed Estimate for Construction of CC Road & Sanitary Line from  R.R.Residency to Amrutha Residenvy  at Venkatappa Road, Queens Road Cross, Taskar Town ward No.63, Shivajinagar Assembly Constituency, Bangalore",5.0
135,2016-17,5,"Detailed Estimate for Construction of CC Road from Farooq Automobiles to K.V Veeraraghava House, 11th Street H.K.P Road,  ward No.63, Shivajinagar Assembly Constituency, Bangalore","Detailed Estimate for Construction of CC Road from Farooq Automobiles to K.V Veeraraghava House, 11th Street H.K.P Road,  ward No.63, Shivajinagar Assembly Constituency, Bangalore",10.0
136,2016-17,6,"Detailed Estimate for Construction of CC Road from U.K. Obaidulla Govt. Urdu School to Fono World in Shivaji Road, ward No.63, Shivajinagar Assembly Constituency, Bangalore","Detailed Estimate for Construction of CC Road from U.K. Obaidulla Govt. Urdu School to Fono World in Shivaji Road, ward No.63, Shivajinagar Assembly Constituency, Bangalore",6.0
137,2016-17,7,"Providing CC Road from Binny Crescent to Sterling Apartments at Ramaiah Reddy Reddy Layout, 2nd Cross, ward No.63, Shivajinagar Assembly Constituency BangaloreChange of Work:-1. Detailed Estimate for Providing SSM Drain & CC Road work in Sri Maduramma Temple, Nehrupura Ward No.92, Shivaji Nagar Assembly Constituency Bangalore2. Detailed Estimate for Providing SSM Drain & CC Road work in Nehrupuram Ward No.92, Shivaji Nagar Assembly Constituency Bangalore3.Detailed Estimate for Providing Sanitary Line and Manholes at 2nd Cross Rajappa Block Shivaji Nagar Assembly Constituency, Bangalore","Providing CC Road from Binny Crescent to Sterling Apartments at Ramaiah Reddy Reddy Layout, 2nd Cross, ward No.63, Shivajinagar Assembly Constituency BangaloreChange of Work:-1. Detailed Estimate for Providing SSM Drain & CC Road work in Sri Maduramma Temple, Nehrupura Ward No.92, Shivaji Nagar Assembly Constituency Bangalore2. Detailed Estimate for Providing SSM Drain & CC Road work in Nehrupuram Ward No.92, Shivaji Nagar Assembly Constituency Bangalore3.Detailed Estimate for Providing Sanitary Line and Manholes at 2nd Cross Rajappa Block Shivaji Nagar Assembly Constituency, Bangalore",15.0
138,2016-17,8,"Providing Sanitary line and improvement road to Cobbler Colony near Police Quarters ward No.63, Shivajinagar Assembly Constituency Bangalore","Providing Sanitary line and improvement road to Cobbler Colony near Police Quarters ward No.63, Shivajinagar Assembly Constituency Bangalore",10.0
139,2016-17,9,"Detailed Estimate for Construction of SSM Drain & Culvert from Sri.Krishna Temple to Shanthi Drug House in Shivaji Road, ward No.63, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Construction of SSM Drain & Culvert from Sri.Krishna Temple to Shanthi Drug House in Shivaji Road, ward No.63, Shivajinagar Assembly Constituency Bangalore",10.0
140,2016-17,10,"Detailed Estimate for Construction of SSM Drain & Culvert from  Shanthi Drug House to D.K. Traders in Shivaji Road,  ward No.63, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Construction of SSM Drain & Culvert from  Shanthi Drug House to D.K. Traders in Shivaji Road,  ward No.63, Shivajinagar Assembly Constituency Bangalore",10.0
141,2016-17,11,"Detailed Estimate for Construction of SSM Drain & Culvert from   D.K. Traders to  Govt Urdu School  in Shivaji Road,  ward No.63, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Construction of SSM Drain & Culvert from   D.K. Traders to  Govt Urdu School  in Shivaji Road,  ward No.63, Shivajinagar Assembly Constituency Bangalore",5.0
142,2016-17,12,Detailed Estimate for Construction of Compound wall to Block pally School Shivajinagar Assembly Constituency Bangalore (Additional Works),Detailed Estimate for Construction of Compound wall to Block pally School Shivajinagar Assembly Constituency Bangalore (Additional Works),3.0
143,2016-17,13,"Detailed Estimate for Providing CC Road, Drain & Culverts in Armstrong Road, Bharathinagara Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Detailed Estimate for Providing CC Road, Drain & Culverts in Armstrong Road, Bharathinagara Ward No.91, Shivajinagara Assembly Constituency, Bangalore",10.0
144,2016-17,14,"Detailed Estimate for Providing CC Road,  Armstrong Road, Bharathinagara Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Detailed Estimate for Providing CC Road,  Armstrong Road, Bharathinagara Ward No.91, Shivajinagara Assembly Constituency, Bangalore",6.0
145,2016-17,15,"Detailed Estimate for Providing CC Road, Near No.46, Makkan Compound, Bharathinagara Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Detailed Estimate for Providing CC Road, Near No.46, Makkan Compound, Bharathinagara Ward No.91, Shivajinagara Assembly Constituency, Bangalore",2.6
146,2016-17,16,"Detailed Estimate for Providing CC Road, Drain and Culverts Near No.55, Makkan Compound, Bharathinagara Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Detailed Estimate for Providing CC Road, Drain and Culverts Near No.55, Makkan Compound, Bharathinagara Ward No.91, Shivajinagara Assembly Constituency, Bangalore",7.3
147,2016-17,17,"Detailed Estimate for Providing CC Road, SSM Drain near Govt Urdu Lower Primary School, Makkan Compound Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Detailed Estimate for Providing CC Road, SSM Drain near Govt Urdu Lower Primary School, Makkan Compound Ward No.91, Shivajinagara Assembly Constituency, Bangalore",1.64
148,2016-17,18,"Detailed Estimate for Providing CC Road, SSM Drain at  Makkan Compound, Bharathinagar Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Detailed Estimate for Providing CC Road, SSM Drain at  Makkan Compound, Bharathinagar Ward No.91, Shivajinagara Assembly Constituency, Bangalore",10.0
149,2016-17,19,"Detailed Estimate for Providing  SSM Drain in  Makkan Compound, Bharathinagar Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Detailed Estimate for Providing  SSM Drain in  Makkan Compound, Bharathinagar Ward No.91, Shivajinagara Assembly Constituency, Bangalore",2.0
150,2016-17,20,"Detailed Estimate for Providing  SSM Drain in  in P.No, 3rd Street, Makkan Compound Bharathinagar Ward No.91, Shivajinagara Assembly Constituency, Bangalore","Detailed Estimate for Providing  SSM Drain in  in P.No, 3rd Street, Makkan Compound Bharathinagar Ward No.91, Shivajinagara Assembly Constituency, Bangalore",10.0
151,2016-17,21,"Detailed Estimate for Providing CC Road in 6th Cross, 76 Division Bradshaw Street Nehrupura, Ward No.92, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Providing CC Road in 6th Cross, 76 Division Bradshaw Street Nehrupura, Ward No.92, Shivajinagar Assembly Constituency Bangalore",10.0
152,2016-17,22,"Detailed Estimate for Providing CC Road in Sippings Cross Road, Sri Durgadevi Nivasa,  Nehrupura, Ward No.92, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Providing CC Road in Sippings Cross Road, Sri Durgadevi Nivasa,  Nehrupura, Ward No.92, Shivajinagar Assembly Constituency Bangalore",6.0
153,2016-17,23,"Detailed Estimate for Providing CC Road in 4th Cross, Ameer San Manzil Nehrupura, Ward No.92, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Providing CC Road in 4th Cross, Ameer San Manzil Nehrupura, Ward No.92, Shivajinagar Assembly Constituency Bangalore",6.0
154,2016-17,24,"Detailed Estimate for Providing CC Road SSM Drain & Culverts from Sri Kaliamman Temple to Masjid E Fathima, Old Korcher Road,  Ward No.92, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Providing CC Road SSM Drain & Culverts from Sri Kaliamman Temple to Masjid E Fathima, Old Korcher Road,  Ward No.92, Shivajinagar Assembly Constituency Bangalore",10.0
155,2016-17,25,"Detailed Estimate for Providing CC Road SSM Drain & Culverts fromMasjid E Fathima to MN Broilers, Old Korcher Road,  Ward No.92, Shivajinagar Assembly Constituency Bangalore","Detailed Estimate for Providing CC Road SSM Drain & Culverts fromMasjid E Fathima to MN Broilers, Old Korcher Road,  Ward No.92, Shivajinagar Assembly Constituency Bangalore",10.0
