Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
133,2016 -17,30.0,"Providing Cement Concrete on Government Road from Chikkamuniyappa House to Government School, Kyalasanahalli Grama Jigani Hobli, Anekal Taluk","Providing Cement Concrete on Government Road from Chikkamuniyappa House to Government School, Kyalasanahalli Grama Jigani Hobli, Anekal Taluk",5.0
134,2016 -17,31.0,"Providing Cement Concrete on Government Road from Munigangappa House to Allalappa house, Kyalasanahalli Grama Jigani Hobli, Anekal Taluk","Providing Cement Concrete on Government Road from Munigangappa House to Allalappa house, Kyalasanahalli Grama Jigani Hobli, Anekal Taluk",5.0
135,2016 -17,32.0,Construction of main bus stand Soraba Private Bus Station  Soraba,Construction of main bus stand Soraba Private Bus Station  Soraba,10.0
136,2016 -17,33.0,"Providing one Ro Water Plant Unit Within the compound of Kidwai Institute of Oncology Hospital, Bangalore","Providing one Ro Water Plant Unit Within the compound of Kidwai Institute of Oncology Hospital, Bangalore",10.0
137,2016 -17,34.0,Providing Cement Concrete Road Vaddarapalya Grama hargadhe Panchayat Limits Bangalore South Taluk,Providing Cement Concrete Road Vaddarapalya Grama hargadhe Panchayat Limits Bangalore South Taluk,5.0
138,2016 -17,35.0,"Providing Cement Concrete road from Konasandra Grama haragadhe Panchayat Limits, Bangalore South Taluk","Providing Cement Concrete road from Konasandra Grama haragadhe Panchayat Limits, Bangalore South Taluk",5.0
139,2016 -17,36.0,Providing Cement Concrete road from BMH Road to Ramprasad residence (Govt.road) Chikkagollarahatti Grama Bangalore Zilla Panchayat Limits,Providing Cement Concrete road from BMH Road to Ramprasad residence (Govt.road) Chikkagollarahatti Grama Bangalore Zilla Panchayat Limits,5.0
140,2016 -17,37.0,"Providing Cement Concrete Road from Kengeri main Road to Islamapura Village, Tavarekere Hobli, Chenayanahalli Gram panchayat yeshwantapura, Bangalore","Providing Cement Concrete Road from Kengeri main Road to Islamapura Village, Tavarekere Hobli, Chenayanahalli Gram panchayat yeshwantapura, Bangalore",5.0
141,2016 -17,38.0,"Providing Cement Concrete Road Kurubarahalli Village, Tavarekere Hobli Chenayanahalli Gram panchayat Yeshwantapura Bangalore","Providing Cement Concrete Road Kurubarahalli Village, Tavarekere Hobli Chenayanahalli Gram panchayat Yeshwantapura Bangalore",5.0
142,2016 -17,39.0,"Providing cement concrete road from Raogondalu Colony to Bus stand Road uttarahalli Hobli, Nelagolli GP Bangalore South Taluk","Providing cement concrete road from Raogondalu Colony to Bus stand Road uttarahalli Hobli, Nelagolli GP Bangalore South Taluk",5.0
143,2016 -17,40.0,"Providing Cement Concrete Road from Ravi House to Srianth house Kachanayakanahalli Village Jigani hobli, Ennagara GP Bangalore South Taluk","Providing Cement Concrete Road from Ravi House to Srianth house Kachanayakanahalli Village Jigani hobli, Ennagara GP Bangalore South Taluk",5.0
144,2016 -17,41.0,"Providing Improvement to road in front of community hall in front of Muthurayaswamy Temple Sullivara Village, Chikkanahalli GP Tavarekere Hobli, Bangalore South Taluk","Providing Improvement to road in front of community hall in front of Muthurayaswamy Temple Sullivara Village, Chikkanahalli GP Tavarekere Hobli, Bangalore South Taluk",5.0
145,2017-18,1.0,"Providing Cement Concrete Road from Nagaraj house to Jayamma House Vinayakanagara Village, Ramohalli GP yeshwantapura, Bangalore","Providing Cement Concrete Road from Nagaraj house to Jayamma House Vinayakanagara Village, Ramohalli GP yeshwantapura, Bangalore",5.0
146,2017-18,2.0,"Providing Cement Concrete Road From poojamma House to Nagaraja House Bhimankuppe Village, Ramohalli GP, yeshwantapura, Bangalore","Providing Cement Concrete Road From poojamma House to Nagaraja House Bhimankuppe Village, Ramohalli GP, yeshwantapura, Bangalore",5.0
147,2017-18,3.0,"Providing Cement Concrete Road Nelagoli Village, and GP Uttarahalli Hobli, Bangalore South Taluk","Providing Cement Concrete Road Nelagoli Village, and GP Uttarahalli Hobli, Bangalore South Taluk",5.0
148,2017-18,4.0,"Providing Cement Concrete Road From Hampapura Village, K Gollahalli GP Kengeri Hobli, Bangalore South Taluk","Providing Cement Concrete Road From Hampapura Village, K Gollahalli GP Kengeri Hobli, Bangalore South Taluk",5.0
149,2017-18,5.0,"Providing improvement to Road in front of large peepal tree at Muthurayaswamy temple Chikkanahalli GP Tavarakere Hobli, Bangalor South Taluk","Providing improvement to Road in front of large peepal tree at Muthurayaswamy temple Chikkanahalli GP Tavarakere Hobli, Bangalor South Taluk",5.0
150,2017-18,6.0,"Construction of Foot bridge Illasur Grama Panchayat Sirsi Taluk, Uttarakannada","Construction of Foot bridge Illasur Grama Panchayat Sirsi Taluk, Uttarakannada",5.0
151,2017-18,7.0,"Construction of Foot bridge Herur Grama Panchayat SiddapuraTaluk, Uttarakannada","Construction of Foot bridge Herur Grama Panchayat SiddapuraTaluk, Uttarakannada",5.0
152,2017-18,8.0,"Construction of Christain Community Hall Shirahatti Taluk, Bellatti Village, Gadag District","Construction of Christain Community Hall Shirahatti Taluk, Bellatti Village, Gadag District",5.0
153,2017-18,9.0,"Construction of Cultural Centre for Jain Community, Tovinakere Village, C.N.Durga Hobli, Koratagere Taluk, Tumkur District","Construction of Cultural Centre for Jain Community, Tovinakere Village, C.N.Durga Hobli, Koratagere Taluk, Tumkur District",5.0
154,2017-18,10.0,"Providing electric poles wiring and all electrification from Transformer to location near shine Jesus Church Survey/VPC No.190/B1116/59 Magod Village, Jayalaxmi Layout Ranebennur Taluk, Hveri District","Providing electric poles wiring and all electrification from Transformer to location near shine Jesus Church Survey/VPC No.190/B1116/59 Magod Village, Jayalaxmi Layout Ranebennur Taluk, Hveri District",2.5
155,2017-18,11.0,"1) Supply of one Maruti Eco Mini Ambulance for Bangalore Friend-in-Need Society2) Purchase of Medical Equipment like ECG Monitor, BP Monitor, Oximeter, Oxygen concentratiors Section apparatus and Nebuliser for Infirmary at Bangalore Friend-in-Need Society 3, colonel Hill Road, Bangalore","1) Supply of one Maruti Eco Mini Ambulance for Bangalore Friend-in-Need Society2) Purchase of Medical Equipment like ECG Monitor, BP Monitor, Oximeter, Oxygen concentratiors Section apparatus and Nebuliser for Infirmary at Bangalore Friend-in-Need Society 3, colonel Hill Road, Bangalore",7.0
156,2017-18,12.0,"Provision of one battery operated two wheeler bike for dear handicapped person -Mr. Nigel Tristram No.44, 4th Cross Patel Muniyappa Layout, Vishwanath Naganahalli, Hebbal, Bangalore-560032","Provision of one battery operated two wheeler bike for dear handicapped person -Mr. Nigel Tristram No.44, 4th Cross Patel Muniyappa Layout, Vishwanath Naganahalli, Hebbal, Bangalore-560032",0.75
157,2017-18,13.0,"Development and upgradation of Community Hall and Construction of Two Toilets (Infant Jesus Church Parish Hall) Shanti Nagar, Bengeri, Hubli","Development and upgradation of Community Hall and Construction of Two Toilets (Infant Jesus Church Parish Hall) Shanti Nagar, Bengeri, Hubli",10.0
158,2017-18,14.0,"Development and upgradation of Community Hall and Construction of Two Toilets (Infant Jesus Church Parish Hall) Shanti Nagar, Bengeri, Hubli","Development and upgradation of Community Hall and Construction of Two Toilets (Infant Jesus Church Parish Hall) Shanti Nagar, Bengeri, Hubli",10.0
159,2017-18,15.0,"Installing 6 lamp posts near G Kelmari house Tonkin Farm and Surrounding area on Surahalli Road, Behind Karnataka Saw Mill & Rogers Camp, Andersonpet KGF, Kolar District","Installing 6 lamp posts near G Kelmari house Tonkin Farm and Surrounding area on Surahalli Road, Behind Karnataka Saw Mill & Rogers Camp, Andersonpet KGF, Kolar District",2.5
160,2017-18,16.0,"Construction of Samudaya Bhavan Ashraya SC Colony Urdigere Hobli, Chikkahalli, Tumkur District , ಹೆಚ್ಚುವರಿ ಅನುದಾನ ರೂ.2.00 ಲಕ್ಷಗಳನ್ನು ನೀಡಿರುತ್ತಾರೆ","Construction of Samudaya Bhavan Ashraya SC Colony Urdigere Hobli, Chikkahalli, Tumkur District, Additional grant will be given Rs.2.00 lakhs",7.0
161,2017-18,17.0,"Construction of Girls Hostel Infant Jesus Rural Students Hostel Vidya Nagar, Raichur","Construction of Girls Hostel Infant Jesus Rural Students Hostel Vidya Nagar, Raichur",5.0
162,2017-18,18.0,"Construction of Road with Cobble Stoned around St.Philomena's Church Laskhar Mohalla Ashoka Road, Mysore","Construction of Road with Cobble Stoned around St.Philomena's Church Laskhar Mohalla Ashoka Road, Mysore",5.0
163,2017-18,19.0,"Installing 12 Street lamp posts with Solar Lighting Fixtures round BL.Teresa of Calcutta Church, 2nd Stage, Rajiv Nagar, Mysore","Installing 12 Street lamp posts with Solar Lighting Fixtures round BL.Teresa of Calcutta Church, 2nd Stage, Rajiv Nagar, Mysore",5.0
164,2017-18,20.0,"Provision of 6 Computers Projector and Screen at Government Primary School Melubelare, Koppa Taluk, Chikkamagalore District","Provision of 6 Computers Projector and Screen at Government Primary School Melubelare, Koppa Taluk, Chikkamagalore District",3.0
165,2017-18,21.0,"Construction of Toilets for College Girls and Boys at Fullinfaws College 221/1 Yellahanalli Begur Akshaya Nagar, Bangalore","Construction of Toilets for College Girls and Boys at Fullinfaws College 221/1 Yellahanalli Begur Akshaya Nagar, Bangalore",5.0
166,2017-18,22.0,Construction of Government Higher Primary School Building Ward No.49 Lingarajapuram Bangalore,Construction of Government Higher Primary School Building Ward No.49 Lingarajapuram Bangalore,5.0
167,2017-18,23.0,"Construction of Room and Supply of one RO Water Plant Unit-500 liters capacity Kadasonahalli Village, Chintamani Taluk, Chikkaballapura","Construction of Room and Supply of one RO Water Plant Unit-500 liters capacity Kadasonahalli Village, Chintamani Taluk, Chikkaballapura",6.0
